audit_id,classification,low_id,low_name,low_type,low_calendar_group,low_date,candidate_id,candidate_name,candidate_type,candidate_calendar_group,candidate_date,score,proposed_decision,reviewer_decision,reviewer_notes
AU-001,auto_safe_candidate,cl-2019-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2019-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-002,auto_safe_candidate,cl-2020-08-16-dia-nacional-del-nino-de-facto,Día Nacional del Niño (de facto),commemorative,días nacionales no oficiales,2020-08-16,cl-2026-08-09-dia-nacional-del-nino-de-facto,Día Nacional del Niño (de facto),commemorative,días nacionales no oficiales,2026-08-09,1.0,accept_candidate,,
AU-003,auto_safe_candidate,cl-2026-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2026-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-004,auto_safe_candidate,cl-2033-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2033-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-005,auto_safe_candidate,cl-2040-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2040-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-006,auto_safe_candidate,cl-2047-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2047-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-007,auto_safe_candidate,cl-2054-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2054-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-008,auto_safe_candidate,cl-2061-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2061-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-009,auto_safe_candidate,cl-2068-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2068-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-010,auto_safe_candidate,cl-2075-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2075-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-011,auto_safe_candidate,cl-2082-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2082-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-012,auto_safe_candidate,cl-2089-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2089-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-013,auto_safe_candidate,cl-2096-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2096-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-014,auto_safe_candidate,cl-2021-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2021-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-015,auto_safe_candidate,cl-2028-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2028-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-016,auto_safe_candidate,cl-2035-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2035-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-017,auto_safe_candidate,cl-2042-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2042-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-018,auto_safe_candidate,cl-2049-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2049-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-019,auto_safe_candidate,cl-2056-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2056-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-020,auto_safe_candidate,cl-2063-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2063-10-01,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),commemorative,semanas/meses/años nacionales,2018-10-01,1.0,accept_candidate,,
AU-021,auto_safe_candidate,cl-1981-08-20-nacimiento-del-procer-de-la-independencia-escolar,Nacimiento del Prócer de la Independencia (escolar),restricted,feriados ámbito restringido,1981-08-20,cl-2055-08-20-nacimiento-del-procer-de-la-independencia,Nacimiento del Prócer de la Independencia,local,feriados locales ámbito normal,2055-08-20,1.0,defer_to_issue_3,,
AU-022,auto_safe_candidate,cl-1985-08-20-nacimiento-del-procer-de-la-independencia-escolar,Nacimiento del Prócer de la Independencia (escolar),restricted,feriados ámbito restringido,1985-08-20,cl-2055-08-20-nacimiento-del-procer-de-la-independencia,Nacimiento del Prócer de la Independencia,local,feriados locales ámbito normal,2055-08-20,1.0,defer_to_issue_3,,
AU-023,auto_safe_candidate,cl-1990-08-20-nacimiento-del-procer-de-la-independencia-escolar,Nacimiento del Prócer de la Independencia (escolar),restricted,feriados ámbito restringido,1990-08-20,cl-2055-08-20-nacimiento-del-procer-de-la-independencia,Nacimiento del Prócer de la Independencia,local,feriados locales ámbito normal,2055-08-20,1.0,defer_to_issue_3,,
AU-024,auto_safe_candidate,cl-1994-08-20-nacimiento-del-procer-de-la-independencia-escolar,Nacimiento del Prócer de la Independencia (escolar),restricted,feriados ámbito restringido,1994-08-20,cl-2055-08-20-nacimiento-del-procer-de-la-independencia,Nacimiento del Prócer de la Independencia,local,feriados locales ámbito normal,2055-08-20,1.0,defer_to_issue_3,,
AU-025,auto_safe_candidate,cl-1999-08-20-nacimiento-del-procer-de-la-independencia-escolar,Nacimiento del Prócer de la Independencia (escolar),restricted,feriados ámbito restringido,1999-08-20,cl-2055-08-20-nacimiento-del-procer-de-la-independencia,Nacimiento del Prócer de la Independencia,local,feriados locales ámbito normal,2055-08-20,1.0,defer_to_issue_3,,
AU-026,review_candidate,cl-2019-06-08-dia-mundial-de-los-oceanos-inconstitucional,Día Mundial de los Océanos (inconstitucional),commemorative,días nacionales,2019-06-08,cl-2068-06-20-dia-mundial-de-los-refugiados-inconstitucional,Día Mundial de los Refugiados (inconstitucional),commemorative,días nacionales,2068-06-20,0.8989,review_manually,,
AU-027,review_candidate,cl-2034-06-08-dia-mundial-de-los-oceanos-inconstitucional,Día Mundial de los Océanos (inconstitucional),commemorative,días nacionales,2034-06-08,cl-2068-06-20-dia-mundial-de-los-refugiados-inconstitucional,Día Mundial de los Refugiados (inconstitucional),commemorative,días nacionales,2068-06-20,0.8989,review_manually,,
AU-028,review_candidate,cl-2044-06-08-dia-mundial-de-los-oceanos-inconstitucional,Día Mundial de los Océanos (inconstitucional),commemorative,días nacionales,2044-06-08,cl-2068-06-20-dia-mundial-de-los-refugiados-inconstitucional,Día Mundial de los Refugiados (inconstitucional),commemorative,días nacionales,2068-06-20,0.8989,review_manually,,
AU-029,review_candidate,cl-2063-06-08-dia-mundial-de-los-oceanos-inconstitucional,Día Mundial de los Océanos (inconstitucional),commemorative,días nacionales,2063-06-08,cl-2068-06-20-dia-mundial-de-los-refugiados-inconstitucional,Día Mundial de los Refugiados (inconstitucional),commemorative,días nacionales,2068-06-20,0.8989,review_manually,,
AU-030,review_candidate,cl-2073-06-08-dia-mundial-de-los-oceanos-inconstitucional,Día Mundial de los Océanos (inconstitucional),commemorative,días nacionales,2073-06-08,cl-2068-06-20-dia-mundial-de-los-refugiados-inconstitucional,Día Mundial de los Refugiados (inconstitucional),commemorative,días nacionales,2068-06-20,0.8989,review_manually,,
